"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","2.6847","2.6878","2.6976","2.6877","0.15K","-0.59%"
"03/26/2024","2.7006","2.7489","2.7500","2.6980","0.39K","-1.74%"
"03/25/2024","2.7484","2.7370","2.7603","2.7310","0.62K","1.11%"
"03/24/2024","2.7181","2.7115","2.7193","2.7115","","-0.79%"
"03/22/2024","2.7398","2.7090","2.7456","2.7090","0.61K","0.47%"
"03/21/2024","2.7271","2.7370","2.7376","2.7119","0.15K","-0.22%"
"03/20/2024","2.7332","2.7425","2.7425","2.7114","0.94K","-1.05%"
"03/19/2024","2.7622","2.7418","2.7672","2.7341","0.56K","0.18%"
"03/18/2024","2.7573","2.7120","2.7651","2.7120","2.47K","1.72%"
"03/17/2024","2.7108","2.7121","2.7160","2.7107","","-0.37%"
"03/15/2024","2.7208","2.6897","2.7228","2.6820","15.96K","0.65%"
"03/14/2024","2.7033","2.6615","2.7048","2.6561","12.38K","1.57%"
"03/13/2024","2.6615","2.6048","2.6657","2.5925","15.00K","2.90%"
"03/12/2024","2.5864","2.5818","2.5980","2.5521","14.98K","0.23%"
"03/11/2024","2.5805","2.5088","2.5886","2.5088","12.16K","2.35%"
"03/10/2024","2.5212","2.5256","2.5258","2.5187","","-0.24%"
"03/08/2024","2.5272","2.5715","2.5716","2.5186","8.09K","-1.08%"
"03/07/2024","2.5548","2.5462","2.5820","2.5267","9.29K","0.04%"
"03/06/2024","2.5539","2.5331","2.5854","2.5328","9.52K","0.83%"
"03/05/2024","2.5328","2.5859","2.5900","2.5207","8.93K","-2.05%"
"03/04/2024","2.5857","2.6095","2.6227","2.5764","9.31K","-1.08%"
"03/03/2024","2.6140","2.6172","2.6173","2.6120","","-0.02%"
"03/01/2024","2.6144","2.5807","2.6365","2.5759","12.01K","1.29%"
"02/29/2024","2.5810","2.5355","2.5905","2.5345","12.79K","13.65%"
"02/28/2024","2.2710","2.2859","2.2869","2.2715","0.16K","-3.13%"
"02/27/2024","2.3444","2.3205","2.3430","2.3140","0.25K","1.68%"
"02/26/2024","2.3056","2.2945","2.3438","2.2945","0.54K","-7.89%"
"02/25/2024","2.5031","2.5073","2.5073","2.5031","","9.94%"
"02/23/2024","2.2767","2.3111","2.3162","2.2734","0.58K","-11.33%"
"02/22/2024","2.5675","2.5430","2.5685","2.4960","19.17K","1.45%"
"02/21/2024","2.5308","2.5240","2.5405","2.5030","19.32K","0.88%"
"02/20/2024","2.5086","2.5586","2.5586","2.5054","24.91K","-2.13%"
"02/19/2024","2.5631","2.5658","2.5669","2.5466","3.57K","-0.59%"
"02/16/2024","2.5783","2.5581","2.5794","2.5240","30.00K","0.51%"
"02/15/2024","2.5652","2.5369","2.5863","2.5080","30.98K","10.72%"
"02/14/2024","2.3169","2.3968","2.4001","2.3114","11.26K","-3.24%"
"02/13/2024","2.3946","2.3782","2.4125","2.3624","13.59K","1.15%"
"02/12/2024","2.3673","2.3269","2.3727","2.3269","14.31K","1.52%"
"02/11/2024","2.3319","2.3201","2.3331","2.3197","","-0.32%"
"02/09/2024","2.3395","2.3435","2.3587","2.3263","15.25K","-0.11%"
"02/08/2024","2.3420","2.2790","2.3449","2.2730","20.41K","3.49%"
"02/07/2024","2.2630","2.2235","2.2695","2.2125","19.33K","2.06%"
"02/06/2024","2.2173","2.2221","2.2264","2.1993","13.21K","0.37%"
"02/05/2024","2.2092","2.1611","2.2114","2.1380","11.24K","2.28%"
"02/04/2024","2.1599","2.1597","2.1630","2.1569","","0.58%"
"02/02/2024","2.1475","2.1985","2.2090","2.1218","9.24K","-2.16%"
"02/01/2024","2.1948","2.2335","2.2595","2.1594","13.55K","-1.63%"
"01/31/2024","2.2312","2.2866","2.2995","2.2187","13.14K","-1.30%"
"01/30/2024","2.2607","2.2720","2.2995","2.2071","0.00K","1.44%"
"01/29/2024","2.2285","2.2694","2.2694","2.2235","0.20K","-4.76%"
"01/28/2024","2.3400","2.3423","2.3435","2.3338","","2.00%"
"01/26/2024","2.2941","2.2468","2.2979","2.2296","0.29K","1.31%"
