"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2024","2.5986","2.6109","2.6172","2.5884","20.97K","-0.88%"
"03/26/2024","2.6218","2.6845","2.6870","2.6097","24.09K","-2.12%"
"03/25/2024","2.6786","2.6644","2.7062","2.6533","29.06K","0.95%"
"03/22/2024","2.6534","2.6630","2.6904","2.6471","27.59K","-0.58%"
"03/21/2024","2.6688","2.6932","2.7026","2.6360","24.85K","-1.00%"
"03/20/2024","2.6957","2.7540","2.7588","2.6714","34.08K","-2.35%"
"03/19/2024","2.7607","2.7735","2.7812","2.7499","24.39K","-0.99%"
"03/18/2024","2.7882","2.7267","2.7963","2.7242","48.34K","2.24%"
"03/15/2024","2.7270","2.7047","2.7372","2.6767","49.82K","0.67%"
"03/14/2024","2.7088","2.6949","2.7260","2.6875","46.08K","0.88%"
"03/13/2024","2.6851","2.6291","2.7038","2.6226","59.32K","2.62%"
"03/12/2024","2.6165","2.6535","2.6769","2.6081","58.21K","-1.33%"
"03/11/2024","2.6518","2.6300","2.6643","2.5883","56.86K","0.41%"
"03/08/2024","2.6409","2.6981","2.7244","2.6209","50.37K","-2.00%"
"03/07/2024","2.6947","2.6595","2.7125","2.6416","59.38K","1.18%"
"03/06/2024","2.6633","2.6004","2.6810","2.5912","52.04K","2.18%"
"03/05/2024","2.6065","2.6495","2.6663","2.5988","43.59K","-1.54%"
"03/04/2024","2.6472","2.7129","2.7129","2.6354","53.20K","-2.11%"
"03/01/2024","2.7042","2.6523","2.7240","2.6417","53.35K","0.76%"
"02/29/2024","2.6838","2.6408","2.7050","2.6150","4.80K","0.96%"
"02/28/2024","2.6583","2.7386","2.7521","2.6414","20.37K","-3.19%"
"02/27/2024","2.7460","2.7717","2.7860","2.7339","19.69K","-0.60%"
"02/26/2024","2.7627","2.6891","2.7740","2.6650","28.08K","2.71%"
"02/23/2024","2.6897","2.7472","2.7501","2.6700","33.43K","-2.26%"
"02/22/2024","2.7520","2.7168","2.7566","2.6654","31.91K","1.73%"
"02/21/2024","2.7052","2.7410","2.7417","2.6819","35.72K","-0.96%"
"02/20/2024","2.7315","2.8066","2.8224","2.7274","44.53K","-2.96%"
"02/19/2024","2.8148","2.7946","2.8221","2.7601","","0.29%"
"02/16/2024","2.8066","2.8181","2.8233","2.7520","56.44K","-0.61%"
"02/15/2024","2.8237","2.8014","2.8623","2.7708","62.62K","0.48%"
"02/14/2024","2.8101","2.8965","2.9108","2.8000","79.30K","-2.96%"
