Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,76.99,77.91,78.62,76.67,345.12K,-1.18%
5/30/2024,77.91,79.28,79.42,77.63,373.78K,-1.67%
5/29/2024,79.23,80.26,80.62,78.99,259.59K,-0.75%
5/28/2024,79.83,77.81,80.29,77.69,334.07K,1.50%
5/27/2024,78.65,77.84,78.8,77.75,,1.20%
5/24/2024,77.72,77.04,78.05,76.15,299.08K,1.11%
5/23/2024,76.87,77.29,78.66,76.43,330.27K,-0.90%
5/22/2024,77.57,78.21,78.41,77.25,314.15K,-2.13%
5/21/2024,79.26,79.7,79.72,78.08,34.18K,-0.68%
5/20/2024,79.8,80.01,80.6,79.17,85.07K,-0.32%
5/17/2024,80.06,79.38,80.14,79,94.15K,1.05%
5/16/2024,79.23,78.84,79.85,78.2,230.28K,0.76%
5/15/2024,78.63,78.44,78.92,76.7,321.27K,0.78%
5/14/2024,78.02,79.23,79.38,77.68,307.41K,-1.39%
5/13/2024,79.12,78.18,79.49,77.78,287.70K,1.10%
5/10/2024,78.26,79.59,79.96,78.14,281.17K,-1.26%
5/9/2024,79.26,79.23,79.8,78.91,272.71K,0.34%
5/8/2024,78.99,78.34,79.27,76.89,355.45K,0.78%
5/7/2024,78.38,78.72,79.17,77.55,327.59K,-0.13%
5/6/2024,78.48,78.16,79.09,77.91,297.37K,0.47%
5/3/2024,78.11,79.07,79.63,77.96,324.44K,-1.06%
5/2/2024,78.95,79.15,79.9,78.41,359.65K,-0.06%
5/1/2024,79,81.48,81.57,78.83,441.98K,-3.58%
4/30/2024,81.93,82.76,83.3,80.95,400.68K,-0.85%
4/29/2024,82.63,83.69,83.91,82.4,336.98K,-1.45%
4/26/2024,83.85,83.81,84.46,83.35,244.09K,0.34%
4/25/2024,83.57,82.83,83.83,81.99,314.12K,0.92%
4/24/2024,82.81,83.4,83.71,82.44,329.08K,-0.66%
4/23/2024,83.36,82.13,83.43,80.88,355.81K,0.62%
4/22/2024,82.85,83.05,83.35,81.85,30.21K,-0.35%
4/19/2024,83.14,82.62,86.28,81.8,76.90K,0.50%
4/18/2024,82.73,82.79,83.47,81.56,84.47K,0.05%
4/17/2024,82.69,85.36,85.51,82.55,259.54K,-3.13%
4/16/2024,85.36,85.7,86.18,84.75,241.34K,-0.06%
4/15/2024,85.41,85.93,86.11,84.05,343.89K,-0.29%
4/12/2024,85.66,85.6,87.67,85.24,369.96K,0.75%
4/11/2024,85.02,86.32,86.63,84.84,388.13K,-1.38%
4/10/2024,86.21,85.34,86.38,84.55,373.94K,1.15%
4/9/2024,85.23,86.59,86.98,85.09,314.99K,-1.39%
4/8/2024,86.43,86.1,87.1,84.69,393.73K,-0.55%
4/5/2024,86.91,86.86,87.63,86.32,353.21K,0.37%
4/4/2024,86.59,85.66,87.22,84.64,359.53K,1.36%
4/3/2024,85.43,85.46,86.2,84.85,322.55K,0.33%
4/2/2024,85.15,84.04,85.5,83.85,344.04K,1.72%
4/1/2024,83.71,83.14,84.49,82.6,321.06K,0.65%
3/28/2024,83.17,81.71,83.21,81.52,293.77K,2.24%
3/27/2024,81.35,81.29,81.74,80.55,249.96K,-0.33%
3/26/2024,81.62,81.94,82.36,81.22,235.85K,-0.40%
3/25/2024,81.95,80.85,82.48,80.59,300.36K,1.64%
3/22/2024,80.63,80.84,81.45,80.42,231.10K,-0.54%
3/21/2024,81.07,81.49,81.92,80.3,266.86K,-0.75%
3/20/2024,81.68,83.2,83.21,81.44,26.04K,-2.14%
3/19/2024,83.47,82.85,83.85,82.39,76.81K,0.91%
3/18/2024,82.72,81.03,83.09,81.01,84.72K,2.07%
3/15/2024,81.04,81.14,81.45,80.49,185.08K,-0.27%
3/14/2024,81.26,79.63,81.62,79.57,297.45K,1.93%
3/13/2024,79.72,78.06,79.9,77.57,316.39K,2.78%
3/12/2024,77.56,78.09,78.73,77.34,309.92K,-0.47%
3/11/2024,77.93,77.8,78.47,76.79,329.87K,-0.10%
3/8/2024,78.01,79.51,79.99,77.56,347.53K,-1.17%
3/7/2024,78.93,79.13,79.53,78.02,432.92K,-0.25%
3/6/2024,79.13,78.15,80.67,77.99,371.05K,1.25%
3/5/2024,78.15,78.74,79.49,77.52,436.52K,-0.75%
3/4/2024,78.74,80.14,80.41,78.56,347.21K,-1.54%
3/1/2024,79.97,78.28,80.85,78.05,363.42K,2.19%
2/29/2024,78.26,78.2,79.28,77.94,317.94K,-0.36%
2/28/2024,78.54,78.48,79.62,77.78,330.04K,-0.42%
2/27/2024,78.87,77.62,79,77.17,269.24K,1.66%
2/26/2024,77.58,76.4,78.03,75.84,274.71K,1.43%
2/23/2024,76.49,78.37,78.39,76.35,353.44K,-2.70%
2/22/2024,78.61,78.09,78.92,77.23,330.51K,0.90%
2/21/2024,77.91,77.15,78.08,76.32,323.24K,-0.35%
2/20/2024,78.18,78.98,79.8,77.67,34.87K,0.09%
2/19/2024,78.11,78.16,78.56,77.64,,-1.36%
2/16/2024,79.19,78.11,79.35,77.22,113.71K,1.49%
2/15/2024,78.03,76.6,78.44,75.78,122.43K,1.81%
2/14/2024,76.64,77.81,78.77,76.38,296.13K,-1.58%
2/13/2024,77.87,77.03,78.47,76.87,338.17K,1.24%
2/12/2024,76.92,76.6,77.09,75.54,248.48K,0.10%
2/9/2024,76.84,76.42,77.29,75.93,302.61K,0.81%
2/8/2024,76.22,74.08,76.59,73.56,377.91K,3.20%
2/7/2024,73.86,73.5,74.22,73.23,294.96K,0.75%
2/6/2024,73.31,72.76,73.82,72.38,310.96K,0.73%
2/5/2024,72.78,72.75,73.28,71.41,350.84K,0.69%
2/2/2024,72.28,73.91,74.52,71.79,467.77K,-2.09%
2/1/2024,73.82,75.96,76.95,73.7,577.94K,-2.68%
1/31/2024,75.85,77.84,78.11,75.52,344.49K,-2.53%
1/30/2024,77.82,77.02,78.14,75.85,347.24K,1.35%
