Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,2.4174,2.3914,2.4331,2.3914,16.83K,0.53%
5/30/2024,2.4046,2.456,2.4613,2.4295,0.44K,-2.43%
5/29/2024,2.4644,2.5208,2.5304,2.4579,1.28K,-1.78%
5/28/2024,2.509,2.5151,2.5244,2.5022,0.33K,-0.20%
5/27/2024,2.514,2.502,2.5154,2.502,0.02K,1.53%
5/26/2024,2.4762,2.4768,2.4787,2.4756,,-0.32%
5/24/2024,2.4842,2.4535,2.5008,2.4535,0.61K,0.60%
5/23/2024,2.4694,2.4733,2.5099,2.4614,1.32K,0.06%
5/22/2024,2.4678,2.4967,2.5046,2.462,1.66K,-1.68%
5/21/2024,2.51,2.53,2.53,2.4918,0.54K,-1.18%
5/20/2024,2.5399,2.5772,2.579,2.5262,4.68K,-1.10%
5/19/2024,2.5682,2.58,2.5808,2.5676,,-0.23%
5/17/2024,2.5742,2.5445,2.5794,2.5412,3.44K,1.43%
5/16/2024,2.5378,2.5188,2.5427,2.5029,11.43K,1.64%
5/15/2024,2.4968,2.48,2.5032,2.4445,10.68K,1.51%
5/14/2024,2.4596,2.5142,2.5161,2.4535,7.78K,-2.03%
5/13/2024,2.5105,2.5013,2.5303,2.4926,16.53K,0.33%
5/12/2024,2.5023,2.4998,2.5023,2.4986,,0.70%
5/10/2024,2.485,2.5338,2.5451,2.4827,37.86K,-1.46%
5/9/2024,2.5218,2.5189,2.5401,2.5108,26.29K,0.49%
5/8/2024,2.5095,2.5114,2.5181,2.46,40.82K,-0.35%
5/7/2024,2.5183,2.5617,2.5617,2.5045,39.73K,-1.49%
5/6/2024,2.5564,2.5258,2.5608,2.5224,35.45K,0.00%
5/5/2024,2.5565,2.5599,2.5615,2.5561,,0.22%
5/3/2024,2.551,2.6025,2.6197,2.5482,,-1.75%
5/2/2024,2.5965,2.5791,2.6055,2.569,17.70K,0.74%
5/1/2024,2.5774,2.662,2.679,2.5742,22.15K,-4.23%
4/30/2024,2.6912,2.7344,2.737,2.6643,19.13K,-2.09%
4/29/2024,2.7487,2.7525,2.7528,2.7515,0.26K,0.61%
4/28/2024,2.7319,2.7374,2.7409,2.7318,,-1.18%
4/26/2024,2.7646,2.7683,2.7788,2.7494,1.14K,0.23%
4/25/2024,2.7582,2.7317,2.7623,2.723,1.39K,0.87%
4/24/2024,2.7343,2.7312,2.7419,2.7209,1.07K,0.33%
4/23/2024,2.7253,2.689,2.7291,2.6519,1.45K,1.49%
4/22/2024,2.6854,2.7152,2.7157,2.677,0.35K,-0.79%
4/21/2024,2.7068,2.7079,2.7119,2.7068,,-0.13%
4/19/2024,2.7103,2.7088,2.7732,2.6952,0.74K,-0.13%
4/18/2024,2.7137,2.735,2.7446,2.695,1.44K,-0.55%
4/17/2024,2.7287,2.806,2.807,2.7231,9.35K,-3.32%
4/16/2024,2.8223,2.7966,2.8226,2.784,8.69K,1.38%
4/15/2024,2.7839,2.8078,2.8078,2.7467,11.36K,-0.94%
4/14/2024,2.8102,2.8064,2.8115,2.8033,,0.26%
4/12/2024,2.8029,2.7881,2.8449,2.7881,10.06K,1.04%
4/11/2024,2.7741,2.7922,2.8024,2.7561,6.96K,-0.27%
4/10/2024,2.7816,2.7492,2.7878,2.7289,11.01K,0.94%
4/9/2024,2.7556,2.7528,2.7744,2.7407,11.11K,0.25%
4/8/2024,2.7486,2.7692,2.7778,2.7305,12.01K,-0.30%
4/7/2024,2.7569,2.7602,2.7629,2.7555,,-1.14%
4/5/2024,2.7886,2.8036,2.8114,2.7739,18.55K,-0.20%
4/4/2024,2.7942,2.7595,2.8046,2.7404,10.80K,1.21%
4/3/2024,2.7609,2.7692,2.7872,2.7605,15.47K,0.07%
4/2/2024,2.7589,2.7125,2.7669,2.7125,21.65K,1.80%
4/1/2024,2.71,2.7151,2.7228,2.6839,20.29K,-0.48%
3/31/2024,2.7231,2.7261,2.7261,2.7191,,0.09%
3/28/2024,2.7206,2.6783,2.7254,2.6685,26.80K,1.34%
3/27/2024,2.6847,2.6878,2.6976,2.6877,0.15K,-0.59%
3/26/2024,2.7006,2.7489,2.75,2.698,0.39K,-1.74%
3/25/2024,2.7484,2.737,2.7603,2.731,0.62K,1.11%
3/24/2024,2.7181,2.7115,2.7193,2.7115,,-0.79%
3/22/2024,2.7398,2.709,2.7456,2.709,0.61K,0.47%
