Date,Price,Open,High,Low,Vol.,Change %
5/31/2024,2.3636,2.369,2.3894,2.3508,1.74K,-0.24%
5/30/2024,2.3694,2.4305,2.4368,2.3637,18.12K,-2.77%
5/29/2024,2.437,2.4801,2.4935,2.4295,22.87K,-1.14%
5/28/2024,2.465,2.4148,2.48,2.4131,28.96K,0.57%
5/27/2024,2.451,2.4361,2.466,2.4302,,0.63%
5/26/2024,2.4356,2.4338,2.4366,2.433,,0.91%
5/24/2024,2.4136,2.4175,2.4302,2.3897,21.87K,0.07%
5/23/2024,2.4118,2.4273,2.4703,2.4009,30.05K,-0.82%
5/22/2024,2.4318,2.4587,2.4639,2.4229,26.36K,-1.24%
5/21/2024,2.4623,2.4826,2.484,2.4432,31.79K,-1.00%
5/20/2024,2.4871,2.4884,2.5043,2.4598,37.28K,0.03%
5/17/2024,2.4863,2.4516,2.4924,2.4509,48.20K,1.74%
5/16/2024,2.4437,2.4276,2.4565,2.4187,49.40K,0.85%
5/15/2024,2.4231,2.4289,2.4397,2.3764,45.06K,0.13%
5/14/2024,2.42,2.4402,2.4472,2.4014,54.38K,-0.69%
5/13/2024,2.4368,2.4314,2.4669,2.423,53.50K,0.10%
5/10/2024,2.4344,2.4836,2.5012,2.431,50.23K,-1.74%
5/9/2024,2.4776,2.4851,2.5102,2.4705,49.21K,0.06%
5/8/2024,2.4761,2.4611,2.4872,2.4264,56.05K,0.43%
5/7/2024,2.4656,2.4678,2.4814,2.427,51.47K,0.17%
5/6/2024,2.4614,2.443,2.477,2.434,52.51K,0.74%
5/3/2024,2.4434,2.4531,2.4625,2.4305,54.09K,0.01%
5/2/2024,2.4431,2.4579,2.4749,2.4219,60.72K,-0.36%
5/1/2024,2.4519,2.522,2.531,2.4458,57.89K,-2.45%
4/30/2024,2.5134,2.5355,2.556,2.4746,2.76K,-0.71%
4/29/2024,2.5313,2.5441,2.5702,2.5264,19.32K,-0.66%
4/26/2024,2.5482,2.5588,2.5844,2.5447,18.87K,-0.09%
4/25/2024,2.5504,2.5557,2.5739,2.5183,20.57K,0.02%
4/24/2024,2.5499,2.5747,2.5852,2.5363,22.11K,-1.14%
4/23/2024,2.5792,2.5699,2.5888,2.5234,25.94K,0.73%
4/22/2024,2.5604,2.5369,2.5705,2.5039,20.05K,0.75%
4/19/2024,2.5413,2.5347,2.6488,2.5137,29.61K,0.29%
4/18/2024,2.5339,2.5787,2.5869,2.526,34.69K,-1.58%
4/17/2024,2.5747,2.6549,2.6579,2.562,46.96K,-2.89%
4/16/2024,2.6513,2.6654,2.6771,2.6243,34.63K,-0.11%
4/15/2024,2.6542,2.7,2.7108,2.6162,39.56K,-1.15%
4/12/2024,2.6851,2.6675,2.7326,2.6651,42.43K,0.95%
4/11/2024,2.6598,2.7149,2.7244,2.6528,54.55K,-1.77%
4/10/2024,2.7076,2.6743,2.7179,2.6555,58.41K,1.14%
4/9/2024,2.677,2.7296,2.7444,2.6731,49.97K,-1.89%
4/8/2024,2.7287,2.7511,2.7556,2.6955,51.98K,-1.60%
4/5/2024,2.773,2.7553,2.7945,2.7479,49.66K,1.16%
4/4/2024,2.7413,2.7387,2.7632,2.6933,46.23K,0.33%
4/3/2024,2.7324,2.727,2.7729,2.7135,60.03K,0.76%
4/2/2024,2.7119,2.6461,2.7257,2.6356,63.37K,3.23%
4/1/2024,2.6271,2.6215,2.6384,2.5787,44.78K,0.44%
3/28/2024,2.6156,2.5963,2.6225,2.5791,3.24K,0.65%
3/27/2024,2.5986,2.6109,2.6172,2.5884,20.97K,-0.88%
3/26/2024,2.6218,2.6845,2.687,2.6097,24.09K,-2.12%
3/25/2024,2.6786,2.6644,2.7062,2.6533,29.06K,0.95%
3/22/2024,2.6534,2.663,2.6904,2.6471,27.59K,-0.58%
3/21/2024,2.6688,2.6932,2.7026,2.636,24.85K,-1.00%
3/20/2024,2.6957,2.754,2.7588,2.6714,34.08K,-2.35%
3/19/2024,2.7607,2.7735,2.7812,2.7499,24.39K,-0.99%
3/18/2024,2.7882,2.7267,2.7963,2.7242,48.34K,2.24%
3/15/2024,2.727,2.7047,2.7372,2.6767,49.82K,0.67%
3/14/2024,2.7088,2.6949,2.726,2.6875,46.08K,0.88%
3/13/2024,2.6851,2.6291,2.7038,2.6226,59.32K,2.62%
3/12/2024,2.6165,2.6535,2.6769,2.6081,58.21K,-1.33%
3/11/2024,2.6518,2.63,2.6643,2.5883,56.86K,0.41%
3/8/2024,2.6409,2.6981,2.7244,2.6209,50.37K,-2.00%
3/7/2024,2.6947,2.6595,2.7125,2.6416,59.38K,1.18%
3/6/2024,2.6633,2.6004,2.681,2.5912,52.04K,2.18%
3/5/2024,2.6065,2.6495,2.6663,2.5988,43.59K,-1.54%
3/4/2024,2.6472,2.7129,2.7129,2.6354,53.20K,-2.11%
3/1/2024,2.7042,2.6523,2.724,2.6417,53.35K,0.76%
2/29/2024,2.6838,2.6408,2.705,2.615,4.80K,0.96%
2/28/2024,2.6583,2.7386,2.7521,2.6414,20.37K,-3.19%
2/27/2024,2.746,2.7717,2.786,2.7339,19.69K,-0.60%
2/26/2024,2.7627,2.6891,2.774,2.665,28.08K,2.71%
2/23/2024,2.6897,2.7472,2.7501,2.67,33.43K,-2.26%
2/22/2024,2.752,2.7168,2.7566,2.6654,31.91K,1.73%
2/21/2024,2.7052,2.741,2.7417,2.6819,35.72K,-0.96%
2/20/2024,2.7315,2.8066,2.8224,2.7274,44.53K,-2.96%
2/19/2024,2.8148,2.7946,2.8221,2.7601,,0.29%
2/16/2024,2.8066,2.8181,2.8233,2.752,56.44K,-0.61%
2/15/2024,2.8237,2.8014,2.8623,2.7708,62.62K,0.48%
2/14/2024,2.8101,2.8965,2.9108,2.8,79.30K,-2.96%
2/13/2024,2.8959,2.9375,2.965,2.8845,60.95K,-0.81%
2/12/2024,2.9196,2.9493,2.9502,2.8959,65.65K,-1.50%
2/9/2024,2.9642,2.8949,2.9735,2.8758,79.91K,2.54%
2/8/2024,2.8908,2.8221,2.8979,2.8064,69.81K,2.69%
2/7/2024,2.8152,2.7586,2.827,2.7479,72.67K,2.64%
2/6/2024,2.7427,2.7301,2.7636,2.7111,51.93K,0.66%
2/5/2024,2.7248,2.679,2.7318,2.6611,55.94K,2.44%
2/2/2024,2.66,2.7242,2.7378,2.6351,70.70K,-1.95%
2/1/2024,2.7129,2.7944,2.8183,2.6846,91.06K,-3.39%
1/31/2024,2.8082,2.7927,2.8418,2.7833,3.91K,0.05%
1/30/2024,2.8068,2.8375,2.8489,2.7629,14.86K,-0.96%
1/29/2024,2.8339,2.8799,2.8923,2.8071,19.55K,-0.33%
1/26/2024,2.8434,2.7908,2.8716,2.7403,27.46K,1.72%
1/25/2024,2.7954,2.691,2.8,2.6878,26.86K,4.24%
1/24/2024,2.6818,2.6948,2.7149,2.6608,26.68K,-0.35%
1/23/2024,2.6913,2.696,2.715,2.648,22.71K,-0.08%
1/22/2024,2.6935,2.6733,2.7129,2.6369,29.87K,1.18%
1/19/2024,2.6621,2.694,2.7249,2.6578,38.35K,-1.17%
1/18/2024,2.6936,2.6489,2.6984,2.6317,35.80K,1.51%
1/17/2024,2.6536,2.6588,2.6588,2.6083,48.35K,-0.26%
1/16/2024,2.6606,2.6848,2.7362,2.6154,88.07K,0.01%
1/15/2024,2.6603,2.6613,2.6756,2.6155,,-0.03%
1/14/2024,2.6612,2.6592,2.6614,2.6532,,-0.30%
1/12/2024,2.6693,2.6942,2.7863,2.6663,69.19K,-0.17%
1/11/2024,2.6738,2.6034,2.697,2.5978,62.11K,2.81%
1/10/2024,2.6006,2.6483,2.7021,2.592,68.64K,-1.88%
1/9/2024,2.6504,2.5819,2.6754,2.5798,68.78K,2.85%
1/8/2024,2.5769,2.6212,2.63,2.5282,61.80K,-1.21%
1/5/2024,2.6085,2.5907,2.6232,2.5841,47.23K,0.78%
1/4/2024,2.5884,2.6063,2.6287,2.5554,50.75K,-0.61%
